product_id,quantity,wholesale_cost,sale_price,supplier_id
JGYMQVM7Z0G8,3758,403.42,728.98,UCBFAQDG
8PGBE59CY257,208,8.81,15.98,GRMSDYOC
HI2616OMBZAO,2890,120.89,182.54,ZEOUUSJW
64FI048A1H4L,1911,102.74,169.52,QDAQXRXZ
6E7SUTHCG1ZF,3056,370.51,691.37,STXXDNQZ
7ZBJY400UB5O,1695,155.29,284.49,YIVQFZLU
6FS04SUY5D5N,621,41.84,51.21,KRSHWTGG
HH80NVAEHJ3L,7026,450.02,689.43,XBJKPDKC
KSBNUPM2UCXD,5191,407.45,592.43,DBGUCAJE
1S8UFKY5B73J,2241,120.07,212.4,ZVQVWANC
FEFBQ2KA2KRJ,1884,138.51,260.4,YIVQFZLU
80KEPFU2V2XJ,630,50.61,55.82,FPFGSVTM
VVM7JE23F24H,1824,124.99,150.74,ZVQVWANC
RVTCTVJCXUVP,454,40.79,50.29,ZXZRBVUV
LSX25U8CIEDR,3226,504.55,572.66,UYLRXCIV
C60YBIQN8URI,6077,379.61,658.24,WLJJEFNP
WDBOVCB1DBWT,7156,452.82,553.8,UYLRXCIV
RZCDLQQFNRE6,7226,390.12,629.65,NRAPQGHO
YQE8DBCXCDAW,3127,412.84,505.73,ARBKBLYG
H5CA1YAJV8SP,5500,402.08,630.86,CNJNFNTK
6RL5XYEBGM9O,5472,443.03,642.84,VCUMMSSB
A9K4BPOLU56P,1057,41.31,75.39,UYLRXCIV
CKQ7QNLCDLAH,6005,458.45,845.38,ZXZRBVUV
N67D98V7YNZ1,3787,416.91,691.65,ZXZRBVUV
CYPI012SQA7H,598,37.71,65.35,ISJDSKXJ
I9LDLYS2O4OV,1875,91.56,110.42,DOOBGRTI
5SM8H6U21GGL,3143,431.95,817.25,ISJDSKXJ
5KS1P9DKSR9G,161,8.81,14.92,ZKUUKRBR
FY0BKMUT81QM,5705,402.08,452.34,OCPOEZVE
0EPS4UATB1MN,4020,433.33,711.53,HFPVCJRL
N25P0GDFV6JI,6977,452.82,618.55,EKYLYNIF
QS1AXMI9BZV8,1958,119.26,135.24,OCPOEZVE
XMZLOC3IQZL4,4923,390.12,541.49,DOOBGRTI
5ZW27N15S3B9,222,11.76,16.52,WWILSOPV
FO04XWSRJN14,5316,377.0,666.16,EDBLMFTH
T90XQ7D4HZJK,2326,113.64,171.37,GIIXLRCH
AYOJ7MUFYE9D,393,11.14,18.61,EWZUFAKC
HJ5PM16DOPGI,374,11.76,14.12,GRMSDYOC
FUPZGX0SOFTJ,4873,425.09,510.96,UYLRXCIV
KP9P1CM0XONN,5151,378.3,601.5,DOOBGRTI
93S0CEZLRLCJ,1263,128.32,224.69,GNIJYLAB
HV9QVIZSVAPD,639,32.33,57.45,KVHNDYBZ
SY58CSL4PGKK,7041,406.1,542.14,CIMIXMVK
03S89S4CTZ3C,1742,105.03,187.69,RFTNQGSK
